"49904",13.5,16.5,19.0,0.9
"CW50643",6.5,13.0,16.0,0.9
"30104",13.5,28.0,46.0,0.9
"46811",8.0,35.5,38.0,0.9
"52173",14.0,36.5,50.0,0.9
"28842",6.0,30.0,36.0,0.9
"28866",6.0,30.0,36.0,0.9
"28880",6.0,30.0,36.0,0.9
"43148",8.0,31.5,37.0,0.9
"42691",18.0,33.0,38.0,0.9
"50001",8.0,22.0,46.0,0.9
"50018",11.0,35.5,38.5,0.9
"50568",26.0,28.0,37.0,0.9
"50995",11.0,23.0,36.5,0.9
"50988",14.5,26.5,36.5,0.9
"50971",14.5,20.5,37.5,0.9
"503390",16.0,16.0,32.5,0.9
"514280",9.0,32.0,42.5,0.9
"CW50633",28.0,28.5,48.5,0.9
"56997",8.0,32.0,39.0,0.9
"57772",4.0,20.5,32.5,0.9
"57697",1.0,16.0,16.0,0.0
"57680",5.0,15.0,15.5,0.9
"57765",7.0,20.0,32.0,0.9
"57673",5.0,16.0,21.5,0.9
"57703",10.0,28.0,32.0,0.9
"57666",5.5,12.5,17.0,0.9
"57727",6.0,13.0,32.0,0.9
"57659",5.0,12.0,16.0,0.9
"57635",8.0,16.0,17.0,0.9
"57758",7.0,32.0,34.0,0.9
"57628",6.0,15.0,18.0,0.9
"57741",6.0,20.0,32.0,0.9
"57611",5.0,12.0,16.0,0.9
"57734",5.0,10.0,32.0,0.9
"57963",19.0,34.5,60.0,0.9
"57970",19.0,34.5,60.0,0.9
"58007",6.0,19.0,33.5,0.9
"58014",6.0,19.0,33.5,0.9
"57840",5.0,21.5,34.0,0.0
"57529",5.5,21.0,32.0,0.9
"57833",5.0,21.5,34.0,0.0
"57819",5.0,21.5,34.0,0.0
"57796",5.0,21.5,34.0,0.0
"57789",5.0,21.5,34.0,0.0
"57987",5.0,16.0,33.0,0.9
"57956",6.0,28.0,32.5,0.9
"57536",6.0,27.0,33.0,0.9
"57543",6.0,27.0,33.0,0.9
"57604",6.0,22.0,32.0,0.9
"57895",6.0,22.0,32.0,0.9
"57901",6.0,27.0,32.0,0.9
"57949",6.0,28.0,32.5,0.9
"57574",6.0,27.0,32.0,0.9
"57598",6.0,27.0,32.0,0.9
"57642",10.0,19.0,34.5,0.9
"50162",11.0,33.0,43.0,0.9
"49942",8.5,35.0,42.0,0.9
"CW50638",11.0,36.0,58.0,0.9
"57000",8.0,21.0,31.0,0.9
"56881",8.0,32.0,39.0,0.9
"56898",8.5,26.0,39.0,0.9
"CW20270",16.0,16.0,17.5,0.9
"52944",12.5,32.0,51.5,1.0
"52968",16.0,37.5,56.5,1.0
"56027",12.0,12.0,63.0,0.9
"56034",12.0,12.0,63.0,0.9
"58274",12.0,12.0,63.0,0.9
"30418",10.0,20.0,40.0,0.9
"TK273",11.7,13.7,22.5,0.9
"56270",6.5,36.0,47.0,0.9
"45470",8.0,8.0,18.0,0.9
"45487",13.0,21.5,43.0,0.9
"45494",7.0,19.0,30.0,0.9
"49959",5.5,29.0,35.0,0.9
"506670",15.0,23.0,26.0,0.9
"51244",16.0,17.0,21.0,0.9
"44797",4.5,19.0,22.0,0.9
"29764",9.0,25.0,29.0,0.9
"40062",17.0,19.0,25.5,0.9
"CW50556",6.0,13.0,22.0,0.9
"650063",15.5,26.5,30.0,0.9
"414099",18.0,19.0,53.0,0.9
"42844",9.6,18.6,34.0,0.9
"45661",8.0,16.5,24.5,0.9
"45678",8.6,20.5,24.5,0.9
"45913",7.0,13.5,18.0,0.9
"46637",9.0,11.5,22.0,0.9
"45685",10.0,10.0,10.0,0.9
"46439",11.0,15.0,19.0,0.9
"47771",10.0,17.5,20.0,0.9
"47733",5.0,23.5,27.0,0.9
"46699",12.0,15.5,24.0,0.9
"47641",8.0,16.5,18.0,0.9
"47924",8.0,16.5,18.0,0.9
"140405",12.0,25.0,27.0,0.9
"51930",8.7,16.3,20.1,0.9
"52838",12.5,22.0,33.5,0.9
"53576",3.5,9.0,10.0,0.9
"54085",15.0,19.0,22.0,0.9
"55068",5.5,8.0,9.0,0.9
"55150",5.5,8.0,9.0,0.9
"54733",15.0,20.0,20.0,0.9
"54726",15.0,15.0,17.0,0.9
"44183",23.0,38.0,52.0,0.5
"50636",12.0,18.0,20.0,0.9
"50742",12.0,18.0,20.0,0.9
"54696",11.0,12.0,27.0,0.9
"ME13101",4.5,6.0,16.0,0.9
"TL776",5.0,22.0,22.0,0.9
"41748",3.0,25.0,32.5,0.9
"41755",4.5,30.0,35.0,0.9
